date;velage;matrice;veau_perf;agnelage
04/09/2023;1;1;;
05/09/2023;2;;;
06/09/2023;1;;1;
07/09/2023;2;;1;
08/09/2023;1;;;
09/09/2023;5;1;1;
10/09/2023;1;;2;
11/09/2023;1;;3;
12/09/2023;;1;1;
13/09/2023;3;;;
14/09/2023;1;;;
15/09/2023;2;1;1;
16/09/2023;1;1;;
17/09/2023;1;1;1;
18/09/2023;1;1;;
19/09/2023;2;;;
20/09/2023;;1;1;
21/09/2023;;;1;
22/09/2023;3;;1;
23/09/2023;2;;1;
24/09/2023;;;;
25/09/2023;1;;;
26/09/2023;1;;2;
27/09/2023;2;2;2;
28/09/2023;2;;1;
29/09/2023;;;3;
30/09/2023;2;;;
01/10/2023;;;1;
02/10/2023;;;;
03/10/2023;2;;;
04/10/2023;;;2;
05/10/2023;1;;1;
06/10/2023;2;2;1;
07/10/2023;;;2;
08/10/2023;;;2;
09/10/2023;3;;1;
10/10/2023;;;;1
11/10/2023;1;;;
12/10/2023;;;1;
13/10/2023;1;;3;
14/10/2023;2;2;1;
15/10/2023;;;1;
16/10/2023;2;;;
17/10/2023;1;;1;
18/10/2023;1;;2;
19/10/2023;1;1;2;
20/10/2023;;;;
21/10/2023;2;;2;
22/10/2023;;;1;
23/10/2023;1;3;1;
24/10/2023;;1;;
25/10/2023;;3;1;
26/10/2023;1;;1;
27/10/2023;;;;
28/10/2023;;;1;1
29/10/2023;2;1;1;
30/10/2023;2;;;
31/10/2023;;1;;
01/11/2023;;;2;
02/11/2023;3;2;4;
03/11/2023;2;;;
04/11/2023;2;1;1;
05/11/2023;;1;;
06/11/2023;;1;2;
07/11/2023;2;1;;
08/11/2023;1;1;2;1
09/11/2023;;1;2;
10/11/2023;;;1;
11/11/2023;;;2;
12/11/2023;;;1;
13/11/2023;;;4;
14/11/2023;1;;1;
15/11/2023;1;1;4;
16/11/2023;2;;3;
17/11/2023;1;;;
18/11/2023;;1;;
19/11/2023;2;;2;
20/11/2023;2;;;
21/11/2023;3;1;;1
22/11/2023;;1;1;
23/11/2023;1;;1;
24/11/2023;;;2;
25/11/2023;1;2;1;
26/11/2023;1;;;
27/11/2023;1;;2;
28/11/2023;;;;
29/11/2023;;;1;
30/11/2023;3;;1;
01/12/2023;1;;;
02/12/2023;4;;4;
03/12/2023;3;;1;
04/12/2023;1;;1;
05/12/2023;2;1;;
06/12/2023;;;1;
07/12/2023;2;;1;
08/12/2023;;;;
09/12/2023;1;1;2;
10/12/2023;;1;2;
11/12/2023;;;4;
12/12/2023;2;1;4;
13/12/2023;1;1;;
14/12/2023;2;1;4;
15/12/2023;1;;;
16/12/2023;;2;2;
17/12/2023;;1;1;
18/12/2023;;;3;
19/12/2023;1;1;2;
20/12/2023;1;1;3;
21/12/2023;1;;2;
22/12/2023;;;1;
23/12/2023;1;1;2;
24/12/2023;1;;1;
25/12/2023;;;3;
26/12/2023;2;1;4;
27/12/2023;2;1;3;
28/12/2023;1;;;
29/12/2023;;;1;1
30/12/2023;;;3;
31/12/2023;;1;4;
